"Variable","Definition","Values","Protocol","table"
"crop_name","Crop Name","{300: 'Green Tomato', 11: 'Maize', 12: 'Paddy', 13: 'Sorghum', 14: 'Bulrush Millet', 15: 'Finger Millet', '71b': 'Banana Beer', 17: 'Barley', 18: 'Black Pepper', 19: 'Seaweed', 302: 'Bamboo', 22: 'Sweet Potatoes', 23: 'Irish Potatoes', 24: 'Yams', 25: 'Cocoyams', 26: 'Onions', 27: 'Ginger', 31: 'Beans', 32: 'Cowpeas', 33: 'Green Gram', 34: 'Pigeon Pea', 35: 'Chickpeas', 36: 'Bambara Nuts', 37: 'Field Peas', 38: 'Malay Apple', 39: 'Star Fruit', 41: 'Sunflower', 42: 'Sesame/Simsim', 43: 'Groundnut', 44: 'Palm Oil', 45: 'Coconut', 46: 'Cashew Nut', 303: 'Firewood/Fodder', 48: 'Castor Seed', 305: 'Medicinal Plant', 306: 'Fence Tree', 51: 'Tobacco', 52: 'Pyrethrum', 53: 'Sisal', 54: 'Coffee', 55: 'Tea', 56: 'Cocoa', 57: 'Rubber', 58: 'Wattle', 59: 'Kapok', 60: 'Sugar Cane', 61: 'Cardamom ', '71c': 'Banana Sweet', 63: 'Tamarind', 64: 'Cinnamon', 65: 'Nutmeg', 66: 'Clove', 67: 'Bread Fruit', 68: 'Pomelo', 69: 'Jack Fruit', 70: 'Passion Fruit', 72: 'Avocado', 73: 'Mango', 74: 'Papaw', 75: 'Pineapple', 76: 'Orange', 77: 'Grapefruit', 78: 'Grapes', 79: 'Mandarin', 80: 'Guava', 81: 'Blood Fruit', 82: 'Apples', 851: 'Lime', 852: 'Lemon', 301: 'Monkeybread/Baobab', 86: 'Cabbage', 87: 'Tomatoes', 88: 'Spinach', 89: 'Carrot', 90: 'Chilies', 91: 'Amaranths', 92: 'Pumpkins', 93: 'Cucumber', 94: 'Egg Plant', 95: 'Water Mellon', 96: 'Cauliflower', 97: 'Durian', 98: 'Bilimbi', 99: 'Rambutan', 100: 'Okra', 101: 'Kiwi', 62: 'Jute', 21: 'Cassava', 47: 'Soyabeans', '71a': 'Banana Food', 304: 'Timber', 200: 'Custard Apple', 201: 'God Fruit', 202: 'Mitobo', 203: 'Plum', 204: 'Peaches', 205: 'Pomegranate', 210: 'Date', 211: 'Tungamaa', 50: 'Cotton', 16: 'Wheat', 'None': 'None', 83: 'Pears', 84: 'Peaches'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_01","Was crop planted in entire area of FIELD?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_02","Approximately, how much of the FIELD was planted with the crop?","{1: '1/4', 2: '1/2', 3: '3/4', 4: 'Almost All'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_04","Was cultivation intercropped?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_05","What is the reason for this intercropping?","{1: 'Substitute If Either Crop Fails', 2: 'Increase Fertility For The Soil', '2a': 'Land Shortage'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_05_other","What is the reason for this intercropping? (other)","","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_5a","What was the planting date of the crop?","","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_06","Did you harvest any crop on this FIELD?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_08","What was the area harvested? (ACRES)","","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_15","What was the quantity harvested - Amount","","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_15_unit","What was the quantity harvested - Unit","{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_16","What is the estimated value of the harvested crop in local currency?","","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_19","Did you purchase any SEED for the crop?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_21","What was the total value of seeds purchased?","","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"ag4a_23","What type of seed did you purchase ?","{1: 'Traditional', 2: 'Purchased Improved Seeds', 3: 'Saved Improved Seeds'}","Agriculture Management Intensity Survey","household_field_season_fieldcrop"
"id","Unique Id for the record",NA,"","household_field_season_individual"
"parent_id","ID of the parent table (household_field_season)",NA,"","household_field_season_individual"
"country","Country",NA,"","household_field_season_individual"
"landscape_no","Landscape Number",NA,"","household_field_season_individual"
"hh_refno","Household Reference Number",NA,"","household_field_season_individual"
"round","The round of data collection",NA,"","household_field_season_individual"
"field_no","Field ID",NA,"","household_field_season_individual"
"season","Season - either long rainy or short rainy",NA,"","household_field_season_individual"
"latitude","Latitude of the landscape centerpoint",NA,"","household_field_season_individual"
"longitude","Longitude of the landscape centerpoint",NA,"","household_field_season_individual"
"ag_date_of_interview","Date of interview",NA,"Agriculture Management Intensity Survey","household_field_season_individual"
"ind_refno","Individual Reference Number",NA,"Agriculture Management Intensity Survey","household_field_season_individual"
"ag3a_70_preparing","Ridging, Fertilizing, Other Non-Harvest Activities - How many days did the individual spend on the following activities on this field?",NA,"Agriculture Management Intensity Survey","household_field_season_individual"
"ag3a_70_weeding","Harvesting - How many days did the individual spend on the following activities on this field?",NA,"Agriculture Management Intensity Survey","household_field_season_individual"
"ag3a_70_fertilizing","Land preparation and planting - How many days did the individual spend on the following activities on this field?",NA,"Agriculture Management Intensity Survey","household_field_season_individual"
"ag3a_70_harvesting","Weeding - How many days did the individual spend on the following activities on this field?",NA,"Agriculture Management Intensity Survey","household_field_season_individual"
"season","Season - either long rainy or short rainy","","","household_fieldcrop"
"id","Unique Id for the record","","","household_fieldcrop"
"parent_id","ID of the parent table (household)","","","household_fieldcrop"
"country","Country","","","household_fieldcrop"
"landscape_no","Landscape Number","","","household_fieldcrop"
"hh_refno","Household Reference Number","","","household_fieldcrop"
"round","The round of data collection","","","household_fieldcrop"
"season ","The season","","","household_fieldcrop"
"latitude","Latitude of the landscape centerpoint","","","household_fieldcrop"
"longitude","Longitude of the landscape centerpoint","","","household_fieldcrop"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_fieldcrop"
"crop_name","Crop Name","{300: 'Green Tomato', 11: 'Maize', 12: 'Paddy', 13: 'Sorghum', 14: 'Bulrush Millet', 15: 'Finger Millet', '71b': 'Banana Beer', 17: 'Barley', 18: 'Black Pepper', 19: 'Seaweed', 302: 'Bamboo', 22: 'Sweet Potatoes', 23: 'Irish Potatoes', 24: 'Yams', 25: 'Cocoyams', 26: 'Onions', 27: 'Ginger', 31: 'Beans', 32: 'Cowpeas', 33: 'Green Gram', 34: 'Pigeon Pea', 35: 'Chickpeas', 36: 'Bambara Nuts', 37: 'Field Peas', 38: 'Malay Apple', 39: 'Star Fruit', 41: 'Sunflower', 42: 'Sesame/Simsim', 43: 'Groundnut', 44: 'Palm Oil', 45: 'Coconut', 46: 'Cashew Nut', 303: 'Firewood/Fodder', 48: 'Castor Seed', 305: 'Medicinal Plant', 306: 'Fence Tree', 51: 'Tobacco', 52: 'Pyrethrum', 53: 'Sisal', 54: 'Coffee', 55: 'Tea', 56: 'Cocoa', 57: 'Rubber', 58: 'Wattle', 59: 'Kapok', 60: 'Sugar Cane', 61: 'Cardamom ', '71c': 'Banana Sweet', 63: 'Tamarind', 64: 'Cinnamon', 65: 'Nutmeg', 66: 'Clove', 67: 'Bread Fruit', 68: 'Pomelo', 69: 'Jack Fruit', 70: 'Passion Fruit', 72: 'Avocado', 73: 'Mango', 74: 'Papaw', 75: 'Pineapple', 76: 'Orange', 77: 'Grapefruit', 78: 'Grapes', 79: 'Mandarin', 80: 'Guava', 81: 'Blood Fruit', 82: 'Apples', 851: 'Lime', 852: 'Lemon', 301: 'Monkeybread/Baobab', 86: 'Cabbage', 87: 'Tomatoes', 88: 'Spinach', 89: 'Carrot', 90: 'Chilies', 91: 'Amaranths', 92: 'Pumpkins', 93: 'Cucumber', 94: 'Egg Plant', 95: 'Water Mellon', 96: 'Cauliflower', 97: 'Durian', 98: 'Bilimbi', 99: 'Rambutan', 100: 'Okra', 101: 'Kiwi', 62: 'Jute', 21: 'Cassava', 47: 'Soyabeans', '71a': 'Banana Food', 304: 'Timber', 200: 'Custard Apple', 201: 'God Fruit', 202: 'Mitobo', 203: 'Plum', 204: 'Peaches', 205: 'Pomegranate', 210: 'Date', 211: 'Tungamaa', 50: 'Cotton', 16: 'Wheat', 'None': 'None', 83: 'Pears', 84: 'Peaches'}","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_01","Did you sell any of the crop produced?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_02_1","Amount Sold","","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_02_2","Unit","{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_03","What was the total value of the sales?","","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_12_1","During which month did you sell most of crop?","","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_20","Was any portion of the production lost post-harvest to rotting, insects, rodents, theft, etc?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_21","What was the reason for the loss?","{1: 'Rotten', 2: 'Insects', 3: 'Mammals (Rodent)', 4: 'Birds', 5: 'Theft', '5b': 'Flood', '5a': 'Fire'}","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_21_other","What was the reason for the loss?","{1: 'Rotten', 2: 'Insects', 3: 'Mammals (Rodent)', 4: 'Birds', 5: 'Theft', '5b': 'Flood', '5a': 'Fire'}","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_22","Out of 10 units of crop, how many were lost?","","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_24","What was done with the residue from this crop?","{1: 'Crop Produces No   Residue', 2: 'Residue Was Left In   Field', 3: 'Mulched', 4: 'For Grazing Own Animals', 5: ""For Grazing Others'   Animals"", 6: 'Feeding Own Animals', 7: 'For Sale'}","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_24_other","What was done with the residue from this crop? (other)","","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_25","What was the quantity of residue sold?","","Agriculture Management Intensity Survey","household_fieldcrop"
"ag5a_26","What was the total value of the sales?","","Agriculture Management Intensity Survey","household_fieldcrop"
"id","Unique Id for the record","","","household_food"
"parent_id","ID of the parent table (household)","","","household_food"
"country","Country","","","household_food"
"landscape_no","Landscape Number","","","household_food"
"hh_refno","Household Reference Number","","","household_food"
"round","The round of data collection","","","household_food"
"latitude","Latitude of the landscape centerpoint","","","household_food"
"longitude","Longitude of the landscape centerpoint","","","household_food"
"hh_k_item","Item","{'0206': 'Cooking Bananas, Plantains', '0110': 'Buns', '0603': 'Canned Vegetables', '0302': 'Sweets', '0107a': 'Sorghum (Flour)', '0105': 'Maize (Flour)', '0503b': 'Other Nuts', '0303e': 'Canned Fruits', '0503a': 'Almonds', '0303': 'Honey', '0301': 'Sugar', '0806': 'Other Domestic Meat Products', '0901': 'Fresh Milk', '0111': 'Macaroni, Spaghetti', '0803': 'Pork Including Sausages And Bacon', '0303b': 'Jams', '0801': 'Goat Meat', '0501a': 'Groundnut Paste/Powder', '0802': 'Beef Including Minced Sausage', '1107': 'Local Brews', '0401': 'Peas', '0401c': 'Other Pulses', '0805': 'Wild Birds', '0504a': 'Sesame/Simsim', '0504': 'Seeds And Products From Nuts/Seeds (Excl. Cooking Oil)', '0303a': 'Syrups', '0804': 'Chicken', '0603a': 'Dried Vegetables', '0201': 'Cassava Fresh', '0902': 'Milk Products (Like Cream, Cheese, Yoghurt Etc)', '0108': 'Wheat', '0804a': 'Other Poultry', '0203': 'Sweet Potatoes', '1106': 'Bottled Beer', '1105': 'Prepared Tea', '0401d': 'Soyabeans', '0112': 'Other Cereal Products', '0503': 'Cashew', '0107': 'Millet (Flour)', '1003': 'Salt', '0903a': 'Powder Milk', '0806a': 'Other Wild Meat Products', '1101': 'Tea Leaves', '1102': 'Coffee', '0110a': 'Cakes', '0704': 'Sugarcane', '0103': 'Maize (Green, Cob)', '0602a': 'Cabbage', '0701': 'Ripe Bananas', '0104': 'Maize (Grain)', '0106': 'Millet (Grain)', '0108a': 'Barley Grain', '1108': 'Wine And Spirits', '0109': 'Bread', '0809': 'Dried/Salted Fish And Seafood (Incl. Dagaa)', '1002c': 'Other Fat Products', '0703': 'Mangoes', '0303d': 'Jellies', '0501': 'Groundnuts In Shell/Shelled', '1105a': 'Prepared Coffee', '0601b': 'Carrots', '0102': 'Rice (Husked)', '1103': 'Other Raw Materials For Drinks', '0602': 'Spinach', '0903': 'Canned Milk', '0602b': 'Other Green Vegetables', '1001': 'Cooking Oil', '0110b': 'Biscuits', '0601c': 'Green Pepper', '0703a': 'Avocadoes', '0502': 'Coconuts (Mature/Immature)', '1002': 'Butter', '1002a': 'Margarine', '1102a': 'Cocoa', '0601': 'Onions', '1004': 'Other Spices', '1104': 'Bottled/Canned Soft Drinks (Soda, Juice, Water)', '0101': 'Rice (Paddy)', '0204': 'Yams/Cocoyams', '0807': 'Eggs', '0603b': 'Wild Vegetables', '0401b': 'Lentils', '0808': 'Fresh Fish And Seafood (Including Dagaa)', '0202': 'Cassava Dry/Flour', '0810': 'Package/Canned Fish', '0108b': 'Other Cereals', '0106a': 'Sorghum (Grain)', '0702': 'Citrus Fruits (Oranges, Lemon, Tangerines, Etc.)', '0504b': 'Sunflower Seeds', '1002b': 'Ghee', '0303c': 'Marmalade', '0805a': 'Wild Insects', '0205': 'Irish Potatoes', '0703b': 'Other Fruits ', '0601d': 'Other Vegetables', '0401a': 'Beans', '0601a': 'Tomatoes', '0207': 'Other Starches'}","Household Survey","household_food"
"hh_k_item_other","specify other item","","Household Survey","household_food"
"hh_k_02_1","UNIT - How much in total did your household consume in the past 7 days?","{'Pieces': 'Pieces', 'Litre': 'Litre', 'Millilitre': 'Millilitre', 'Grams': 'Grams', 'Kilograms': 'Kilograms'}","Household Survey","household_food"
"hh_k_02_2","QUANTITY - How much in total did your household consume in the past 7 days?","","Household Survey","household_food"
"hh_k_03_1","UNIT - How much came from purchases during the past 7 days?","{'Pieces': 'Pieces', 'Litre': 'Litre', 'Millilitre': 'Millilitre', 'Grams': 'Grams', 'Kilograms': 'Kilograms'}","Household Survey","household_food"
"hh_k_03_2","QUANTITY - How much came from purchases during the past 7 days?","","Household Survey","household_food"
"hh_k_04","How much did you spend on the food?","","Household Survey","household_food"
"hh_k_05_1","UNIT - How much came from own-production?","{'Pieces': 'Pieces', 'Litre': 'Litre', 'Millilitre': 'Millilitre', 'Grams': 'Grams', 'Kilograms': 'Kilograms'}","Household Survey","household_food"
"hh_k_05_2","QUANTITY - How much came from own-production?","","Household Survey","household_food"
"hh_k_05a","How much would you spend at the market for that amount of the food item?","","Household Survey","household_food"
"hh_k_06_1","UNIT - How much came from gifts and other sources?","{'Pieces': 'Pieces', 'Litre': 'Litre', 'Millilitre': 'Millilitre', 'Grams': 'Grams', 'Kilograms': 'Kilograms'}","Household Survey","household_food"
"hh_k_06_2","QUANTITY","","Household Survey","household_food"
"id","Unique Id for the record","","","household_implement"
"parent_id","ID of the parent table (household)","","","household_implement"
"country","Country","","","household_implement"
"landscape_no","Landscape Number","","","household_implement"
"hh_refno","Household Reference Number","","","household_implement"
"round","The round of data collection","","","household_implement"
"latitude","Latitude of the landscape centerpoint","","","household_implement"
"longitude","Longitude of the landscape centerpoint","","","household_implement"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_implement"
"toolname","Tool Name","{'13h': 'Sickle (For Cocoa Harvesting)', 1: 'Hand Hoe', 2: 'Hand-Powered Sprayer', 3: 'Ox Plough', 4: 'Ox Seed Planter', 5: 'Ox Cart', 6: 'Tractor', 7: 'Tractor Plough', 8: 'Tractor Harrow', 9: 'Sheller/Thresher', 10: 'Hand Mill/Grinder', 11: 'Watering Can', 12: 'Farm Buildings', 13: 'Geri Cans/Drums', '13g': '""Soso"" (Used To Dig Holes/Pluck Plantains/Harvest Yams)', '13c': 'Sheds', '13a': 'Cool Storage', '13i': 'Sickle (Grass Cutting/Threshing)', '13e': 'Cutlass', '13b': 'Silos', '13d': 'Storeroom', '13f': 'Axe'}","Agriculture Management Intensity Survey","household_implement"
"ag11_01","Number owned","","Agriculture Management Intensity Survey","household_implement"
"ag11_07","Number borrowed in the last 12 months?","","Agriculture Management Intensity Survey","household_implement"
"id","Unique Id for the record","","","household_individual"
"parent_id","ID of the parent table (household)","","","household_individual"
"country","Country","","","household_individual"
"landscape_no","Landscape Number","","","household_individual"
"hh_refno","Household Reference Number","","","household_individual"
"round","The round of data collection","","","household_individual"
"ind_refno","Individual Reference Number","","","household_individual"
"latitude","Latitude of the landscape centerpoint","","","household_individual"
"longitude","Longitude of the landscape centerpoint","","","household_individual"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_individual"
"ag_indid_age","Age (From Agriculture survey)","","Agriculture Management Intensity Survey","household_individual"
"ag_indid_gender","Sex (From Agriculture survey)","{1: 'Male', 2: 'Female'}","Agriculture Management Intensity Survey","household_individual"
"ag_indid_respondent","Is this person a respondent to this questionnaire?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_individual"
"hh_b02","Sex (From Household survey)","{1: 'Male', 2: 'Female'}","Household Survey","household_individual"
"hh_b03","In what month and year was individual born?","","Household Survey","household_individual"
"hh_b04","Age (Fom Household survey)","","Household Survey","household_individual"
"hh_b05","What is the relationship to the head of household for individual?","{1: 'Head', 2: 'Spouse', 3: 'Son/Daughter', 4: 'Step Son/Daughter', 5: 'Sister/Brother', 6: 'Grandchild', 7: 'Father/Mother', 8: 'Other Relative', 9: 'Live-In Servant', 10: 'Other Non-Relatives'}","Household Survey","household_individual"
"hh_b07","Did individual eat meals in this household in the last 7 days?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_b08","For how many days in the last 30 days was individual present?","","Household Survey","household_individual"
"hh_c01","Is individual over 5 years old?","","Household Survey","household_individual"
"hh_c02","Can individual read or write?","{1: 'Any Local Language', 2: 'English', 3: 'Any Local Language And English', 4: 'Any Other Language', 5: 'No'}","Household Survey","household_individual"
"hh_c03","Has individual ever attended school?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_c07","What is the highest grade completed by individual?","{1: 'Pp', 2: 'Adult', '31': 'S5', '14': 'University', '61': 'Other (Specify In Next Question)', '32': 'L6', '33': 'U6', '25': 'Sss2', 11: 'P1', 12: 'P2', 13: 'P3', 14: 'P4', 15: 'P5', 16: 'P6', 17: 'P7', 18: 'P8', 20: 'Ms+Course', 21: 'S1', 22: 'S2', 23: 'S3', 24: 'S4', 25: ""O'+Course"", '13': 'Vocational Training', '04': 'P4', '20': 'M1', '29': 'S3', 31: 'S5', 32: 'S6', 33: ""'A' +Course"", 34: 'Diploma', '11': 'S5', '05': 'P5', '17': 'Jss1', '08': 'S2', 41: 'U1', 42: 'U2', 43: 'U3', 44: 'U4', 45: 'U5+', '30': 'S4', '27': 'S1', '43': 'Nursing', '28': 'S2', '22': 'M3', '07': 'S1', '16': 'P6', '10': 'S4', '42': 'Teacher Train', '41': 'Voc / Technical / Computer / Comm / Agric', '12': 'S6', '15': 'Postgraduate', '26': 'Sss3', '23': 'M4', '53': 'Other Tertiary', '09': 'S3', '06': 'P6', '01': 'P1', '51': 'Polytechnic', '21': 'M2', '00': 'None', '52': 'University', '24': 'Sss1', '02': 'P2', '19': 'Jss3', '18': 'Jss2', '03': 'P3'}","Household Survey","household_individual"
"hh_e04","Did you do any work of any type for pay, profit, barter or home use during the last 7 days?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_e06","Is individual working as","{1: 'Paid Employee', 2: 'Self Employed (With Employees)', 3: 'Self Employed (Without Employees)', 4: 'Unpaid Family Helper (Agric)', 5: 'Unpaid Family Helper (Non-Agric)', 6: 'On Your Own Farm/Shamba'}","Household Survey","household_individual"
"hh_e08","Did you do any wage work during the last 12 months?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_e22_1","Wages from work","","Household Survey","household_individual"
"hh_e22_2","Time Unit","{1: 'Hour', 2: 'Day', 3: 'Week', 4: 'Fortnight', 5: 'Month', 6: 'Quarter', 7: 'Half Year', 8: 'Year'}","Household Survey","household_individual"
"hh_e23","Do you receive any payment for this work in any other form?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_e24_1","Value of payment in other form","","Household Survey","household_individual"
"hh_e24_2","Time Unit","{1: 'Hour', 2: 'Day', 3: 'Week', 4: 'Fortnight', 5: 'Month', 6: 'Quarter', 7: 'Half Year', 8: 'Year'}","Household Survey","household_individual"
"hh_e25","How many hours did you work last week?","","Household Survey","household_individual"
"hh_e26","During the last 12 months, for how many months did you work in this job?","","Household Survey","household_individual"
"hh_e27","During the last 12 months, how many weeks per month do you usually work in this job?","","Household Survey","household_individual"
"hh_e28","During the last 12 months, how many hours per week do you usually work in this job?","","Household Survey","household_individual"
"hh_e51","Did you operate any business or do any self-employed activity during the last week, other than agriculture?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_e52","Did you operate any business or do any self-employed activity during the last 12 months, other than agriculture?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_e64_1","Gross income/takings from your business","","Household Survey","household_individual"
"hh_e64_2","Time Unit","{'month': 'Month', 'week ': 'Week'}","Household Survey","household_individual"
"hh_e65_1","Net income (profit)","","Household Survey","household_individual"
"hh_e65_2","Time Unit","{'month': 'Month', 'week ': 'Week'}","Household Survey","household_individual"
"hh_hv103","Does individual collect fuelwood for household and/or commercial use?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_hv104","How frequently does individual collect firewood?","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey","household_individual"
"hh_hv105","How much does individual collect during that collection period?","","Household Survey","household_individual"
"hh_hv105_other","What are the bundles carried on? (other)","","Household Survey","household_individual"
"hh_hv105_unit","What are the bundles carried on?","{1: 'Head', 2: 'Back', 3: 'Bike', 4: 'Other (Specify)'}","Household Survey","household_individual"
"hh_hv105a","How many hours does individual spend on each fuelwood collection trip? (From home departure to return)","","Household Survey","household_individual"
"hh_u1","Is child 0-60 Months old?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_u2","Weight in KGs of child","","Household Survey","household_individual"
"hh_u3","Height in CMs of child","","Household Survey","household_individual"
"hh_u4","Was child measured standing or lying down?","{1: 'Standing', 2: 'Lying Down'}","Household Survey","household_individual"
"hh_u5","Upper arm circumference of child","","Household Survey","household_individual"
"hh_u6","Was child measured?","{1: 'Yes', 2: 'No'}","Household Survey","household_individual"
"hh_u7","WHY NOT?","{1: 'Currently Not Home', 2: 'Too Ill', 3: 'Unwilling'}","Household Survey","household_individual"
"hh_u7_other","WHY NOT? (other)","","Household Survey","household_individual"
"id","Unique Id for the record","","","household_livestock"
"parent_id","ID of the parent table (household)","","","household_livestock"
"country","Country","","","household_livestock"
"landscape_no","Landscape Number","","","household_livestock"
"hh_refno","Household Reference Number","","","household_livestock"
"round","The round of data collection","","","household_livestock"
"latitude","Latitude of the landscape centerpoint","","","household_livestock"
"longitude","Longitude of the landscape centerpoint","","","household_livestock"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_livestock"
"animal_name","Animal Name","{1: 'Bulls', 2: 'Cows', 11: 'Ducks', 4: 'Heifers', 5: 'Male Calves', 6: 'Female Calves', '12a': 'Hare', 8: 'Sheep', 9: 'Pigs ', 10: 'Chickens', 7: 'Goats', '10a': 'Guinea Fowl', 13: 'Grass Cutter', 14: 'Donkeys', 15: 'Dogs', 16: 'Other', '15a': 'Ox', 3: 'Steers', 12: 'Rabbits'}","Agriculture Management Intensity Survey","household_livestock"
"ag10a_05_1","Indigenous - How many does this household currently own?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_05_2","Improved - How many does this household currently own?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_05_3","Improved Dairy - How many does this household currently own?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_19","Have you sold any alive in the last 12 months?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_livestock"
"ag10a_20","How many have you sold in the past 12 months?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_21","What was the total value of sales?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_24","Did you slaughter any in the past 12 months?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_livestock"
"ag10a_25","How many did you slaughter in the past 12 months?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_26","How many of the slaughtered did you sell?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_27","What was the total value of the sold slaughtered?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_33","did you hire any labor to help you with the in the past 12 months?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_livestock"
"ag10a_34","What was the total cost of this labor for in the past 12 months?","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_01","From 0 to 10, how much of the animal's diet consisted of Legume forage","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_02","From 0 to 10, how much of the animal's diet consisted of Green Grass/ fresh crop cutting","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_03","From 0 to 10, how much of the animal's diet consisted of Crop residue (Maize/hay)","","Agriculture Management Intensity Survey","household_livestock"
"ag10a_04","From 0 to 10, how much of the animal's diet consisted of Rough grazing","","Agriculture Management Intensity Survey","household_livestock"
"id","Unique Id for the record","","","household_livestockbyprod"
"parent_id","ID of the parent table (household)","","","household_livestockbyprod"
"country","Country","","","household_livestockbyprod"
"landscape_no","Landscape Number","","","household_livestockbyprod"
"hh_refno","Household Reference Number","","","household_livestockbyprod"
"round","The round of data collection","","","household_livestockbyprod"
"latitude","Latitude of the landscape centerpoint","","","household_livestockbyprod"
"longitude","Longitude of the landscape centerpoint","","","household_livestockbyprod"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_livestockbyprod"
"ag10b_01","Byproduct Name","{1: 'Cow Milk (Traditional)', 2: 'Cow Milk (Improved)', 3: 'Chicken Eggs (Traditional)', 4: 'Chicken Eggs (Improved)', 5: 'Ghee/Butter', 6: 'Cheese/Yogurt', 7: 'Honey', 8: 'Skins And Hides', 9: 'Manure'}","Agriculture Management Intensity Survey","household_livestockbyprod"
"ag10b_1a","Quantity - How much of the did you produce in the past 12 months?","","Agriculture Management Intensity Survey","household_livestockbyprod"
"ag10b_1a_unit","Units","{1: 'Litres', 2: 'Kgs', 3: 'Pieces'}","Agriculture Management Intensity Survey","household_livestockbyprod"
"ag10b_1b","What was the total value of total byproduct produced in the last 12 months?","","Agriculture Management Intensity Survey","household_livestockbyprod"
"ag10b_05_1","Quantity - How much of the byproduct produced did you sell in the last 12 months?","","Agriculture Management Intensity Survey","household_livestockbyprod"
"ag10b_05_2","Units","{1: 'Litres', 2: 'Kgs', 3: 'Pieces'}","Agriculture Management Intensity Survey","household_livestockbyprod"
"ag10b_06","What was the total value of sales of the byproduct in the last 12 months?","","Agriculture Management Intensity Survey","household_livestockbyprod"
"id","Unique Id for the record","","","household_permcrop"
"parent_id","ID of the parent table (household)","","","household_permcrop"
"country","Country","","","household_permcrop"
"landscape_no","Landscape Number","","","household_permcrop"
"hh_refno","Household Reference Number","","","household_permcrop"
"round","The round of data collection","","","household_permcrop"
